season,team_id,opp_id,team_seed,opp_seed,team_points,opp_points,win,location,game_type
2006,1455,1272,7,6,71,65,1,H,regular
2018,1320,1195,4,1,75,74,1,H,regular
2005,1060,1020,8,11,62,75,0,H,regular
2007,1136,1267,4,12,65,57,1,A,regular
2016,1184,1049,2,13,94,66,1,A,regular
2021,1433,1195,1,6,77,67,1,N,regular
2006,1421,1176,6,14,76,70,1,A,regular
2009,1369,1428,12,11,55,66,0,N,regular
2024,1051,1327,10,10,73,77,0,H,regular
2025,1235,1299,2,4,88,79,1,A,regular
2016,1232,1398,8,14,75,75,0,H,regular
2013,1305,1087,10,13,89,105,0,H,regular
2010,1404,1123,4,15,61,57,1,A,regular
2017,1154,1360,3,6,49,54,0,A,regular
2016,1267,1359,4,9,60,59,1,N,regular
2009,1127,1011,2,1,65,70,0,A,regular
2003,1101,1108,4,10,82,69,1,H,regular
2006,1150,1109,9,9,87,84,1,A,tourney
2025,1352,1003,13,14,65,70,0,H,tourney
2012,1210,1317,14,12,73,73,0,N,tourney
2014,1326,1027,11,16,93,87,1,H,tourney
2013,1331,1403,6,15,61,57,1,H,regular
2021,1174,1280,15,3,68,71,0,A,tourney
2004,1457,1365,15,16,76,65,1,A,regular
2004,1023,1238,6,1,55,69,0,A,tourney
2009,1429,1464,1,8,51,40,1,A,regular
2014,1004,1130,7,15,97,81,1,H,regular
2018,1183,1267,8,10,66,67,0,A,regular
2014,1395,1004,11,16,63,64,0,H,regular
2013,1328,1399,3,9,77,69,1,A,regular
2024,1154,1272,9,11,57,57,0,A,regular
2006,1424,1085,6,9,58,54,1,H,regular
2016,1066,1391,8,15,69,64,1,H,regular
2015,1321,1473,1,2,62,75,0,A,regular
2013,1248,1033,9,7,61,58,1,N,regular
2021,1100,1405,1,11,80,70,1,A,regular
2009,1441,1353,14,8,62,63,0,A,regular
2024,1366,1170,12,16,80,71,1,H,regular
2010,1005,1304,15,10,66,67,0,H,regular
2015,1042,1376,11,3,68,83,0,A,regular
2014,1027,1230,16,10,76,61,1,A,regular
2022,1199,1319,4,5,60,61,0,N,regular
2013,1200,1024,1,8,97,78,1,H,regular
2009,1347,1443,15,2,64,69,0,H,regular
2003,1324,1442,11,14,67,57,1,H,regular
2011,1008,1101,12,7,59,59,0,A,tourney
2022,1228,1229,5,13,58,46,1,H,regular
2003,1376,1115,6,8,67,59,1,A,regular
2023,1430,1192,11,16,64,79,0,H,regular
2015,1140,1132,7,6,55,66,0,N,regular
2006,1022,1412,2,2,91,87,1,H,regular
2009,1074,1333,5,8,43,55,0,A,regular
2015,1163,1405,7,1,74,74,1,H,regular
2010,1212,1380,14,13,54,58,0,H,regular
2005,1168,1348,6,15,88,68,1,N,regular
2018,1044,1080,8,4,81,81,1,A,regular
2018,1163,1397,10,1,66,74,0,A,regular
2005,1139,1375,3,13,61,47,1,H,tourney
2009,1234,1060,10,12,62,69,0,A,regular
2008,1038,1042,4,13,77,71,1,H,regular
2018,1378,1364,15,10,60,59,1,H,regular
2019,1200,1187,5,10,60,64,0,H,regular
2019,1152,1157,5,5,68,70,0,A,regular
2024,1434,1190,7,6,58,69,0,A,regular
2020,1356,1415,6,11,55,49,1,A,regular
2010,1066,1174,10,15,57,46,1,H,regular
2005,1071,1177,12,5,56,68,0,N,regular
2017,1002,1191,16,6,48,80,0,H,regular
2024,1269,1026,15,10,62,71,0,A,regular
2025,1170,1018,5,1,63,72,0,A,regular
2008,1180,1199,10,11,82,88,0,A,regular
2008,1244,1009,6,3,53,55,0,H,regular
2003,1258,1362,13,11,78,79,0,H,regular
2006,1001,1203,1,15,71,53,1,A,regular
2015,1052,1240,16,15,89,86,1,A,regular
2015,1378,1161,6,3,61,67,0,H,regular
2011,1456,1366,12,10,61,65,0,A,regular
2010,1401,1205,11,8,63,75,0,A,regular
2022,1434,1017,6,8,76,64,1,A,regular
2013,1222,1234,16,12,69,70,0,H,regular
2021,1396,1085,5,16,73,56,1,H,regular
2025,1422,1285,12,10,84,90,0,A,regular
2010,1427,1270,15,9,75,87,0,H,tourney
2007,1072,1227,2,11,81,59,1,H,regular
2024,1071,1185,15,9,78,92,0,H,regular
2017,1193,1285,15,6,65,78,0,A,regular
2009,1241,1326,7,14,65,52,1,A,regular
2017,1458,1420,14,11,66,71,0,N,regular
2014,1152,1461,1,10,71,62,1,A,regular
2023,1398,1040,4,1,60,63,0,H,tourney
2008,1425,1316,13,5,71,79,0,H,tourney
2025,1462,1041,15,5,52,66,0,A,tourney
2024,1091,1200,3,11,90,84,1,H,regular
2007,1116,1355,12,2,68,81,0,N,tourney
2006,1106,1260,2,7,59,56,1,H,regular
2015,1352,1387,13,8,74,86,0,A,regular
2004,1329,1437,15,12,74,82,0,A,tourney
2009,1195,1466,8,3,88,90,0,H,regular
2013,1043,1322,2,10,86,85,1,H,regular
2025,1249,1322,4,9,90,90,1,H,regular
2025,1351,1384,9,12,63,72,0,N,regular
2006,1227,1112,13,3,66,77,0,H,regular
2023,1129,1145,9,10,58,64,0,H,regular
2005,1284,1164,8,7,77,86,0,H,tourney
2020,1316,1356,10,5,48,52,0,N,regular
2022,1283,1168,16,2,40,66,0,H,regular
2023,1418,1067,13,7,60,75,0,H,tourney
2008,1151,1382,3,8,72,61,1,A,regular
2023,1292,1359,4,1,68,79,0,A,regular
2005,1409,1285,6,13,77,73,1,H,regular
2014,1102,1422,5,12,73,57,1,H,regular
2013,1135,1379,12,6,59,51,1,A,regular
2010,1024,1431,16,1,64,72,0,A,regular
2003,1180,1125,10,12,62,66,0,H,regular
2020,1022,1056,15,1,68,85,0,H,regular
2010,1357,1164,7,7,81,84,0,H,regular
2018,1043,1397,12,4,73,92,0,A,regular
2012,1331,1442,12,4,69,88,0,H,regular
2011,1278,1053,5,13,70,53,1,H,tourney
2023,1473,1409,12,5,69,79,0,H,tourney
2005,1167,1229,9,4,79,81,0,H,regular
2019,1165,1391,10,5,59,57,1,N,regular
2020,1117,1327,5,3,58,74,0,A,regular
2011,1257,1029,6,12,77,68,1,H,tourney
2009,1105,1232,14,8,59,54,1,N,tourney
2003,1055,1043,10,4,87,77,1,A,regular
2024,1454,1163,3,5,74,55,1,A,regular
2024,1325,1363,9,16,86,68,1,H,regular
2008,1057,1327,10,10,80,68,1,H,regular
2003,1296,1337,13,11,82,77,1,A,regular
2005,1146,1316,14,14,50,47,1,A,regular
2004,1087,1008,11,7,87,94,0,H,regular
2022,1226,1279,1,6,88,75,1,H,regular
2023,1377,1232,8,16,83,66,1,A,regular
2006,1001,1253,4,10,75,75,0,N,regular
2020,1170,1102,1,4,86,85,1,H,regular
2007,1441,1338,15,14,57,63,0,A,tourney
2011,1189,1291,3,13,83,67,1,H,regular
2016,1048,1193,4,7,80,82,0,A,regular
2019,1205,1028,6,5,48,56,0,A,regular
2023,1327,1033,8,11,65,63,1,A,regular
2004,1477,1172,10,9,69,67,1,A,regular
2007,1301,1257,5,4,68,81,0,A,regular
2009,1025,1477,13,1,45,61,0,H,regular
2010,1387,1346,3,14,72,48,1,A,regular
2025,1373,1233,16,14,46,56,0,A,regular
2020,1312,1143,14,15,64,59,1,A,regular
2010,1429,1081,10,6,91,84,1,N,regular
2025,1368,1068,1,12,68,58,1,A,regular
2014,1112,1035,12,10,69,53,1,N,regular
2014,1202,1436,12,5,68,86,0,H,regular
2012,1243,1008,10,15,72,56,1,H,regular
2006,1234,1413,5,6,82,82,1,H,tourney
2024,1306,1279,7,1,74,65,1,A,regular
2003,1336,1296,7,3,62,66,0,A,regular
2007,1050,1459,10,16,67,49,1,N,regular
2008,1272,1376,6,2,72,85,0,H,regular
2009,1019,1071,7,9,67,68,0,A,regular
2006,1245,1464,15,8,72,76,0,H,regular
2003,1202,1085,8,13,73,77,0,A,tourney
2018,1099,1273,10,14,49,48,1,A,regular
2025,1474,1307,15,8,65,68,0,A,regular
2005,1124,1117,16,11,46,64,0,H,regular
2009,1027,1302,10,14,73,76,0,H,tourney
2014,1172,1306,5,13,92,74,1,A,regular
2024,1363,1469,2,15,84,70,1,A,regular
2018,1005,1438,14,12,73,63,1,H,tourney
2020,1236,1192,9,7,52,48,1,A,regular
2016,1200,1330,10,9,76,70,1,H,tourney
2012,1414,1393,16,12,71,65,1,H,regular
2007,1002,1013,6,5,52,70,0,A,regular
2022,1009,1328,2,16,79,62,1,H,regular
2021,1271,1439,11,8,43,53,0,H,regular
2003,1086,1058,16,13,67,82,0,H,regular
2019,1337,1361,3,9,77,58,1,A,tourney
2004,1133,1029,16,16,69,59,1,H,tourney
2019,1269,1193,9,11,68,67,1,H,tourney
2021,1019,1392,9,12,65,71,0,A,regular
2006,1332,1473,16,13,71,68,1,A,tourney
2012,1248,1348,6,6,75,86,0,A,regular
2005,1001,1345,12,6,70,71,0,A,regular
2016,1128,1124,1,14,68,51,1,A,regular
2024,1029,1395,11,8,62,71,0,A,regular
2004,1022,1315,1,11,96,90,1,A,regular
2012,1334,1451,1,9,91,73,1,N,regular
2025,1205,1289,7,1,71,75,0,A,regular
2009,1384,1019,6,8,70,69,1,H,regular
2006,1124,1245,13,3,54,70,0,H,tourney
2014,1344,1371,15,2,57,76,0,A,regular
2014,1295,1377,16,5,53,79,0,H,regular
2018,1317,1185,10,5,60,67,0,A,regular
2010,1396,1082,3,12,61,49,1,A,regular
2024,1339,1416,11,5,84,83,1,A,regular
2014,1357,1394,8,13,48,40,1,N,regular
2009,1354,1421,9,4,70,85,0,H,regular
2025,1214,1321,9,14,91,83,1,H,regular
2024,1347,1397,15,9,87,93,0,H,regular
2014,1403,1193,7,2,74,68,1,A,regular
2003,1353,1373,16,2,56,75,0,A,regular
2016,1291,1234,9,2,69,77,0,H,regular
2015,1036,1380,12,7,70,85,0,H,regular
2006,1209,1070,15,5,61,76,0,N,regular
2017,1031,1142,14,1,59,65,0,A,tourney
2022,1050,1103,8,11,76,84,0,H,tourney
2005,1173,1195,4,14,82,66,1,H,regular
2019,1222,1390,3,14,67,58,1,H,regular
2006,1253,1055,6,3,51,46,1,H,regular
2020,1431,1350,11,14,100,92,1,H,tourney
2012,1365,1398,13,7,74,89,0,A,regular
2003,1203,1321,1,4,73,74,0,H,regular
2025,1160,1309,8,3,61,71,0,N,regular
2006,1341,1067,16,13,79,67,1,H,regular
2016,1132,1293,14,5,41,64,0,A,regular
2007,1423,1109,16,11,71,83,0,H,tourney
2024,1374,1118,16,9,60,77,0,A,regular
2019,1327,1412,2,15,69,55,1,H,tourney
2021,1120,1294,11,12,78,66,1,A,regular
2012,1298,1475,9,13,63,62,1,H,regular
2013,1393,1218,8,8,66,63,1,A,regular
2017,1035,1172,13,9,69,70,0,A,regular
2021,1085,1476,15,3,42,65,0,H,regular
2022,1247,1298,8,13,80,82,0,H,regular
2003,1172,1413,11,13,89,82,1,A,regular
2018,1340,1022,8,5,66,64,1,A,regular
2005,1192,1252,11,3,90,78,1,A,regular
2009,1477,1391,16,13,63,73,0,H,regular
2022,1144,1387,13,13,74,58,1,N,regular
2008,1173,1342,4,13,60,43,1,H,regular
2021,1002,1079,14,1,50,73,0,H,regular
2013,1119,1262,9,14,77,76,1,A,regular
2008,1113,1049,10,6,56,55,1,H,regular
2010,1365,1384,2,4,64,65,0,H,regular
2015,1162,1302,8,9,68,63,1,H,tourney
2020,1098,1093,5,14,43,40,1,N,regular
2016,1150,1348,2,14,88,75,1,A,regular
2024,1269,1344,14,3,81,70,1,H,regular
2022,1376,1026,3,16,82,77,1,H,regular
2020,1468,1043,12,13,77,84,0,A,regular
2016,1023,1097,12,15,66,67,0,A,regular
2009,1402,1034,10,15,90,83,1,H,regular
2012,1186,1257,14,9,55,68,0,A,regular
2005,1387,1421,2,1,58,71,0,N,regular
2011,1018,1031,1,2,59,71,0,A,tourney
2024,1300,1294,14,11,74,76,0,A,regular
2012,1445,1203,3,2,72,72,1,A,regular
2005,1019,1400,5,11,75,70,1,N,regular
2017,1378,1231,12,2,56,58,0,A,regular
2025,1055,1320,9,14,66,61,1,A,regular
2022,1470,1441,4,5,40,47,0,A,regular
2009,1356,1066,4,2,73,77,0,A,regular
2013,1436,1151,14,6,51,71,0,A,regular
2015,1430,1129,9,15,60,71,0,H,regular
2008,1151,1081,15,9,57,64,0,N,tourney
2009,1199,1310,9,16,75,72,1,H,regular
2008,1331,1004,11,5,61,69,0,N,regular
2025,1084,1185,6,11,40,40,0,H,regular
2020,1147,1059,1,3,78,66,1,A,regular
2022,1048,1295,9,7,64,59,1,A,tourney
2021,1425,1359,12,7,64,78,0,A,regular
2025,1119,1224,7,11,89,74,1,H,regular
2005,1197,1213,14,11,58,62,0,A,regular
2023,1217,1215,12,1,64,75,0,H,regular
2004,1180,1095,9,12,55,59,0,A,regular
2013,1372,1180,9,13,78,90,0,A,regular
2016,1437,1446,4,7,69,70,0,A,regular
2011,1274,1020,15,2,67,86,0,A,regular
2006,1400,1377,1,7,67,50,1,A,regular
2007,1053,1079,1,6,77,68,1,N,regular
2021,1462,1055,13,13,80,84,0,H,regular
2010,1056,1137,1,3,69,62,1,H,regular
2010,1032,1129,9,5,67,78,0,A,tourney
2024,1011,1152,4,12,72,82,0,N,tourney
2006,1117,1407,11,16,99,90,1,A,regular
2024,1401,1433,2,10,81,71,1,A,regular
2024,1144,1331,5,1,69,70,0,H,regular
2016,1379,1070,9,12,76,67,1,A,regular
2006,1203,1452,7,1,72,74,0,A,regular
2006,1050,1406,4,2,80,82,0,A,regular
2009,1227,1037,1,11,60,57,1,H,tourney
2016,1112,1186,1,6,73,67,1,H,tourney
2006,1140,1371,4,1,55,66,0,H,tourney
2013,1248,1043,5,7,78,76,1,A,regular
2005,1378,1037,2,7,83,86,0,H,regular
2015,1281,1290,9,10,89,73,1,A,regular
2003,1107,1161,15,16,79,69,1,H,regular
2019,1343,1212,12,2,67,79,0,H,regular
2004,1333,1359,5,11,65,60,1,A,regular
2007,1114,1261,8,11,64,59,1,H,regular
2007,1408,1340,13,16,77,77,1,A,regular
2022,1404,1061,16,7,64,84,0,H,regular
2004,1289,1002,9,3,59,80,0,H,regular
2012,1142,1121,4,15,69,58,1,A,regular
2016,1170,1097,14,1,69,84,0,H,regular
2014,1211,1155,9,8,65,67,0,H,tourney
2018,1090,1373,1,11,85,74,1,A,regular
2021,1147,1073,5,2,80,80,0,H,regular
2012,1065,1061,9,5,52,60,0,N,regular
2022,1074,1096,13,2,76,67,1,H,regular
2010,1356,1157,14,14,68,70,0,A,regular
2025,1062,1095,4,5,76,83,0,H,regular
2014,1225,1088,12,10,77,79,0,A,regular
2019,1206,1278,16,4,50,58,0,N,tourney
2023,1023,1054,13,12,74,86,0,H,tourney
2021,1398,1074,12,13,62,65,0,H,tourney
2022,1471,1400,13,1,55,71,0,A,regular
2015,1306,1009,9,12,62,69,0,H,tourney
2003,1321,1030,10,11,73,60,1,H,regular
2014,1112,1034,9,2,65,83,0,A,regular
2007,1404,1257,16,5,58,65,0,A,regular
2023,1375,1333,6,14,97,82,1,A,regular
2008,1210,1332,13,8,78,70,1,A,regular
2008,1338,1330,1,2,68,76,0,A,regular
2008,1457,1028,7,11,54,55,0,A,regular
2017,1289,1165,15,13,64,53,1,A,regular
2016,1096,1303,4,7,62,63,0,A,regular
2024,1158,1327,13,2,70,86,0,A,tourney
2012,1089,1160,9,3,79,85,0,A,regular
2009,1159,1405,3,7,55,40,1,A,tourney
2004,1426,1399,2,8,69,57,1,H,regular
2003,1091,1366,2,13,86,61,1,H,regular
2011,1427,1382,8,11,73,63,1,A,regular
